rate_num,rating_type,degree,Feedback_ID
234,Cleanliness,1,17
235,Cleanliness,2,338
236,Service,4,172
237,Cleanliness,3,288
238,Cleanliness,4,25
239,Cleanliness,1,362
240,Cleanliness,3,405
241,Food,2,140
242,Service,3,347
243,Food,2,243
244,Service,5,251
245,Food,5,181
246,Cleanliness,5,129
247,Cleanliness,4,485
248,Service,4,480
249,Cleanliness,4,312
250,Cleanliness,3,496
251,Service,4,181
252,Service,4,252
253,Cleanliness,1,442
254,Service,4,155
255,Service,2,342
256,Service,2,413
257,Service,3,454
258,Food,4,152
259,Service,2,455
260,Service,5,321
261,Food,3,17
262,Cleanliness,3,245
263,Service,1,481
264,Service,1,30
265,Cleanliness,5,478
266,Cleanliness,3,55
267,Cleanliness,4,447
268,Cleanliness,5,380
269,Food,3,491
270,Service,5,266
271,Food,4,407
272,Food,4,407
273,Cleanliness,3,249
274,Food,4,286
275,Service,5,1
276,Food,3,384
277,Food,5,348
278,Cleanliness,4,53
279,Cleanliness,1,116
280,Service,3,133
281,Service,3,299
282,Service,2,414
283,Cleanliness,5,488
284,Service,3,65
285,Service,4,3
286,Service,5,6
287,Food,2,422
288,Cleanliness,5,355
289,Food,3,99
290,Service,4,181
291,Food,5,435
292,Food,1,49
293,Food,5,48
294,Food,3,203
295,Service,5,125
296,Service,4,409
297,Cleanliness,2,28
298,Food,3,189
299,Cleanliness,1,89
300,Service,2,108
301,Food,2,51
302,Food,2,146
303,Service,4,15
304,Cleanliness,4,171
305,Service,3,138
306,Food,4,140
307,Cleanliness,3,220
308,Service,3,75
309,Cleanliness,1,69
310,Food,2,221
311,Service,5,231
312,Service,3,201
313,Food,4,293
314,Service,2,239
315,Cleanliness,5,131
316,Service,3,389
317,Food,1,362
318,Cleanliness,4,159
319,Cleanliness,3,123
320,Cleanliness,1,353
321,Cleanliness,4,77
322,Cleanliness,3,451
323,Cleanliness,5,251
324,Cleanliness,4,117
325,Service,2,115
326,Cleanliness,2,396
327,Cleanliness,1,278
328,Service,4,137
329,Food,1,118
330,Cleanliness,3,187
331,Food,3,323
332,Service,2,427
333,Food,1,423
334,Cleanliness,5,487
335,Cleanliness,2,358
336,Food,2,231
337,Cleanliness,3,314
338,Food,2,11
339,Service,3,193
340,Cleanliness,3,160
341,Service,3,54
342,Food,4,48
343,Food,2,127
344,Food,4,447
345,Service,1,191
346,Food,1,446
347,Cleanliness,2,465
348,Service,1,474
349,Food,5,342
350,Cleanliness,1,492
351,Service,3,10
352,Service,2,197
353,Service,5,401
354,Service,3,169
355,Food,4,180
356,Service,5,207
357,Service,3,453
358,Food,4,495
359,Service,4,2
360,Service,4,170
361,Cleanliness,2,246
362,Cleanliness,5,329
363,Food,2,74
364,Food,4,40
365,Service,3,445
366,Service,1,175
367,Food,3,292
368,Cleanliness,1,441
369,Cleanliness,1,180
370,Food,5,200
371,Cleanliness,4,154
372,Service,3,286
373,Cleanliness,2,446
374,Food,4,230
375,Food,1,369
376,Cleanliness,3,91
377,Service,1,188
378,Service,1,374
379,Food,4,325
380,Food,3,186
381,Food,1,375
382,Service,4,431
383,Cleanliness,2,217
384,Cleanliness,1,247
385,Service,2,123
386,Food,5,456
387,Cleanliness,2,128
388,Cleanliness,4,449
389,Cleanliness,4,54
390,Cleanliness,5,4
391,Cleanliness,1,251
392,Service,5,344
393,Service,4,278
394,Food,5,430
395,Food,1,57
396,Cleanliness,5,423
397,Food,3,424
398,Cleanliness,4,420
399,Cleanliness,4,186
400,Cleanliness,3,319
401,Food,2,197
402,Service,2,398
403,Service,4,89
404,Service,2,403
405,Service,5,54
406,Service,3,199
407,Cleanliness,3,136
408,Service,1,484
409,Service,3,489
410,Food,4,312
411,Food,4,113
412,Cleanliness,3,403
413,Cleanliness,1,26
414,Food,1,167
415,Service,2,368
416,Food,1,394
417,Food,3,17
418,Service,5,228
419,Food,2,104
420,Food,5,315
421,Cleanliness,2,224
422,Cleanliness,2,307
423,Service,4,121
424,Service,5,28
425,Cleanliness,2,68
426,Cleanliness,1,11
427,Food,3,362
428,Cleanliness,1,93
429,Service,4,274
430,Food,1,425
431,Food,1,370
432,Service,5,355
433,Cleanliness,5,497
434,Food,5,259
435,Food,4,55
436,Cleanliness,2,411
437,Food,4,24
438,Cleanliness,5,253
439,Cleanliness,5,35
440,Food,2,276
441,Service,1,336
442,Food,3,250
443,Cleanliness,1,500
444,Cleanliness,2,406
445,Service,2,223
446,Food,2,263
447,Service,2,163
448,Cleanliness,4,157
449,Cleanliness,3,483
450,Service,4,179
451,Food,3,389
452,Cleanliness,5,184
453,Cleanliness,5,327
454,Food,5,33
455,Cleanliness,5,118
456,Service,5,386
457,Service,1,32
458,Service,2,46
459,Cleanliness,5,296
460,Service,2,27
461,Food,5,74
462,Food,4,258
463,Service,4,137
464,Service,2,133
465,Cleanliness,5,110
466,Food,5,112
467,Cleanliness,1,173
468,Food,5,228
469,Cleanliness,4,242
470,Food,1,268
471,Cleanliness,2,324
472,Cleanliness,3,74
473,Cleanliness,3,416
474,Food,2,343
475,Food,4,155
476,Food,4,109
477,Cleanliness,4,198
478,Service,3,131
479,Cleanliness,5,161
480,Cleanliness,5,271
481,Cleanliness,2,371
482,Food,3,438
483,Food,3,357
484,Service,1,8
485,Service,3,297
486,Food,2,23
487,Service,4,220
488,Food,1,188
489,Cleanliness,3,400
490,Service,5,278
491,Food,1,162
492,Cleanliness,5,369
493,Cleanliness,5,252
494,Cleanliness,1,233
495,Cleanliness,4,269
496,Cleanliness,4,408
497,Service,1,368
498,Food,3,150
499,Service,5,407
500,Food,3,441
501,Cleanliness,5,27
502,Service,5,213
503,Service,1,88
504,Cleanliness,5,274
505,Cleanliness,4,296
506,Cleanliness,4,276
507,Food,3,416
508,Cleanliness,1,24
509,Food,3,247
510,Service,5,88
511,Service,4,30
512,Food,2,480
513,Food,1,19
514,Service,3,176
515,Food,5,187
516,Food,1,78
517,Food,1,123
518,Service,1,463
519,Food,3,236
520,Service,2,190
521,Food,4,477
522,Service,2,47
523,Food,2,368
524,Cleanliness,5,337
525,Food,5,108
526,Service,5,165
527,Service,1,124
528,Food,5,276
529,Service,4,155
530,Cleanliness,5,278
531,Food,4,70
532,Food,3,363
533,Cleanliness,4,281
534,Food,4,455
535,Service,4,175
536,Cleanliness,1,31
537,Cleanliness,2,375
538,Service,4,229
539,Service,4,165
540,Cleanliness,2,116
541,Service,2,491
542,Food,5,436
543,Service,5,185
544,Food,5,151
545,Food,3,465
546,Service,1,195
547,Service,5,401
548,Food,2,34
549,Food,3,37
550,Food,5,334
551,Service,4,7
552,Food,3,33
553,Service,5,108
554,Food,2,122
555,Cleanliness,2,293
556,Service,4,192
557,Cleanliness,4,498
558,Cleanliness,2,144
559,Food,2,360
560,Service,3,487
561,Cleanliness,2,359
562,Food,3,14
563,Cleanliness,5,228
564,Food,1,341
565,Service,1,364
566,Service,3,442
567,Service,5,432
568,Cleanliness,5,23
569,Service,4,182
570,Service,3,403
571,Cleanliness,2,158
572,Service,2,414
573,Food,5,257
574,Food,2,153
575,Food,5,460
576,Food,3,417
577,Food,5,229
578,Food,1,147
579,Service,3,395
580,Food,2,465
581,Service,4,355
582,Food,1,91
583,Cleanliness,3,485
584,Cleanliness,2,359
585,Cleanliness,1,499
586,Food,5,177
587,Service,5,380
588,Cleanliness,3,147
589,Cleanliness,3,143
590,Cleanliness,3,117
591,Service,3,172
592,Service,1,51
593,Cleanliness,5,409
594,Cleanliness,5,234
595,Service,4,19
596,Cleanliness,2,463
597,Cleanliness,4,352
598,Food,3,158
599,Cleanliness,1,472
600,Food,2,282
601,Food,4,153
602,Cleanliness,5,214
603,Service,1,266
604,Cleanliness,2,390
605,Service,3,49
606,Cleanliness,5,401
607,Service,1,189
608,Cleanliness,1,92
609,Cleanliness,4,144
610,Service,2,425
611,Service,4,438
612,Food,2,500
613,Service,2,261
614,Service,1,154
615,Cleanliness,5,216
616,Service,2,337
617,Food,1,417
618,Food,3,235
619,Cleanliness,2,138
620,Cleanliness,5,374
621,Service,4,264
622,Cleanliness,1,407
623,Food,5,336
624,Cleanliness,5,417
625,Cleanliness,5,83
626,Service,2,297
627,Cleanliness,2,482
628,Service,1,344
629,Service,4,236
630,Cleanliness,3,96
631,Cleanliness,4,308
632,Service,3,354
633,Food,4,387
634,Service,2,48
635,Service,5,481
636,Cleanliness,1,180
637,Cleanliness,3,165
638,Food,1,213
639,Food,4,201
640,Service,3,279
641,Cleanliness,5,131
642,Food,4,423
643,Food,1,93
644,Service,2,88
645,Cleanliness,3,418
646,Cleanliness,1,121
647,Service,5,155
648,Service,2,303
649,Cleanliness,3,184
650,Food,3,64
651,Food,3,278
652,Food,3,163
653,Cleanliness,4,345
654,Food,4,253
655,Cleanliness,4,251
656,Service,4,241
657,Cleanliness,1,66
658,Service,2,253
659,Cleanliness,3,491
660,Cleanliness,2,83
661,Service,2,145
662,Food,1,285
663,Food,4,172
664,Service,3,34
665,Service,1,138
666,Service,1,489
667,Cleanliness,2,482
668,Service,1,463
669,Food,3,406
670,Food,4,187
671,Cleanliness,5,426
672,Food,5,285
673,Food,1,248
674,Service,1,115
675,Cleanliness,3,168
676,Food,5,367
677,Cleanliness,2,423
678,Service,3,93
679,Cleanliness,2,96
680,Service,5,247
681,Service,3,386
682,Food,3,191
683,Cleanliness,3,223
684,Cleanliness,4,303
685,Service,3,354
686,Service,5,392
687,Food,5,241
688,Food,4,294
689,Service,5,129
690,Cleanliness,1,251
691,Cleanliness,3,41
692,Service,5,157
693,Cleanliness,3,492
694,Food,1,61
695,Cleanliness,2,44
696,Cleanliness,1,37
697,Service,3,363
698,Food,2,206
699,Service,5,20
700,Service,5,22
701,Service,1,64
702,Cleanliness,5,434
703,Food,5,321
704,Service,1,6
705,Food,1,350
706,Service,4,419
707,Service,3,410
708,Service,1,404
709,Cleanliness,2,269
710,Cleanliness,3,424
711,Food,1,396
712,Food,4,295
713,Food,3,261
714,Cleanliness,4,293
715,Service,5,261
716,Food,3,71
717,Service,1,299
718,Food,3,415
719,Service,2,386
720,Food,2,133
721,Service,2,250
722,Service,1,261
723,Service,1,212
724,Food,1,303
725,Service,2,167
726,Cleanliness,2,175
727,Service,2,207
728,Service,2,91
729,Food,2,142
730,Cleanliness,2,187
731,Food,3,132
732,Food,4,279
733,Cleanliness,2,428
734,Food,3,273
735,Food,3,278
736,Cleanliness,2,492
737,Service,4,130
738,Cleanliness,2,313
739,Cleanliness,1,8
740,Service,1,351
741,Service,4,73
742,Service,4,339
743,Food,2,250
744,Food,3,93
745,Food,2,18
746,Cleanliness,1,61
747,Service,5,147
748,Cleanliness,1,293
749,Service,1,351
750,Food,4,56
751,Cleanliness,1,370
752,Service,3,293
753,Food,1,8
754,Service,4,273
755,Cleanliness,1,321
756,Cleanliness,2,331
757,Service,2,199
758,Cleanliness,3,5
759,Service,3,302
760,Food,3,137
761,Service,5,297
762,Service,4,185
763,Food,1,416
764,Service,3,155
765,Cleanliness,5,202
766,Cleanliness,1,122
767,Service,5,96
768,Food,2,285
769,Food,1,394
770,Food,5,147
771,Cleanliness,2,188
772,Food,4,464
773,Service,3,297
774,Service,5,440
775,Food,2,11
776,Food,3,478
777,Food,2,304
778,Food,4,192
779,Cleanliness,3,137
780,Service,5,74
781,Service,4,428
782,Service,5,197
783,Cleanliness,5,448
784,Cleanliness,5,186
785,Service,3,283
786,Cleanliness,4,375
787,Cleanliness,1,355
788,Service,1,479
789,Food,2,7
790,Food,5,318
791,Food,1,105
792,Cleanliness,2,336
793,Service,3,224
794,Food,1,245
795,Food,4,330
796,Food,2,313
797,Cleanliness,1,57
798,Service,2,65
799,Cleanliness,4,190
800,Service,3,323
801,Cleanliness,2,78
802,Cleanliness,2,35
803,Cleanliness,3,317
804,Service,1,238
805,Food,5,112
806,Cleanliness,4,306
807,Service,2,358
808,Service,4,271
809,Food,1,300
810,Cleanliness,1,97
811,Food,1,460
812,Food,2,23
813,Service,5,102
814,Service,4,488
815,Food,1,80
816,Food,3,116
817,Service,5,358
818,Service,1,366
819,Cleanliness,5,430
820,Service,5,452
821,Service,3,460
822,Food,1,225
823,Cleanliness,1,189
824,Food,3,143
825,Cleanliness,2,274
826,Service,5,201
827,Food,4,388
828,Service,4,120
829,Food,4,107
830,Cleanliness,3,477
831,Cleanliness,4,317
832,Food,1,155
833,Service,4,175
834,Food,3,282
835,Cleanliness,4,130
836,Service,1,461
837,Cleanliness,2,352
838,Cleanliness,1,138
839,Service,1,120
840,Food,1,139
841,Cleanliness,3,28
842,Food,3,431
843,Cleanliness,4,168
844,Cleanliness,2,234
845,Food,5,377
846,Service,2,302
847,Cleanliness,4,320
848,Food,3,99
849,Cleanliness,2,481
850,Service,3,354
851,Service,3,460
852,Cleanliness,2,170
853,Service,4,335
854,Service,3,439
855,Cleanliness,5,76
856,Food,4,39
857,Cleanliness,4,220
858,Service,2,225
859,Service,4,172
860,Cleanliness,3,269
861,Food,3,412
862,Cleanliness,5,225
863,Service,3,441
864,Service,4,381
865,Service,1,303
866,Cleanliness,1,39
867,Service,2,276
868,Cleanliness,1,389
869,Food,5,109
870,Food,2,31
871,Cleanliness,1,249
872,Service,4,376
873,Service,5,329
874,Food,3,349
875,Cleanliness,2,26
876,Food,3,496
877,Service,3,409
878,Service,5,302
879,Service,3,8
880,Cleanliness,5,50
881,Food,5,210
882,Service,3,129
883,Food,5,225
884,Cleanliness,5,374
885,Cleanliness,1,392
886,Food,1,90
887,Service,5,384
888,Service,4,154
889,Food,2,156
890,Food,1,421
891,Service,3,174
892,Service,2,235
893,Food,3,177
894,Cleanliness,2,449
895,Food,4,38
896,Cleanliness,2,134
897,Cleanliness,2,9
898,Cleanliness,4,256
899,Food,2,410
900,Service,4,498
901,Food,1,382
902,Food,4,391
903,Cleanliness,1,50
904,Food,2,42
905,Food,3,40
906,Service,4,357
907,Service,3,237
908,Service,3,351
909,Food,1,228
910,Food,3,109
911,Food,4,104
912,Cleanliness,5,493
913,Service,2,56
914,Service,5,462
915,Food,5,182
916,Cleanliness,4,385
917,Service,3,346
918,Food,4,3
919,Service,1,64
920,Food,2,388
921,Food,3,377
922,Cleanliness,1,21
923,Service,4,415
924,Service,3,416
925,Food,5,468
926,Service,3,83
927,Service,3,361
928,Food,4,463
929,Service,1,401
930,Cleanliness,3,479
931,Food,2,343
932,Food,4,67
933,Food,2,120
934,Cleanliness,2,57
935,Food,3,108
936,Food,1,63
937,Service,5,71
938,Cleanliness,2,295
939,Service,3,29
940,Food,4,489
941,Cleanliness,5,468
942,Food,3,327
943,Service,2,387
944,Cleanliness,1,402
945,Service,5,5
946,Food,4,23
947,Food,1,456
948,Food,5,233
949,Cleanliness,3,487
950,Food,5,244
951,Service,1,348
952,Cleanliness,3,332
953,Food,1,139
954,Food,5,102
955,Service,3,3
956,Cleanliness,5,394
957,Cleanliness,4,151
958,Food,2,18
959,Cleanliness,3,79
960,Cleanliness,1,460
961,Food,2,477
962,Service,5,330
963,Food,4,423
964,Service,1,124
965,Cleanliness,3,356
966,Cleanliness,1,143
967,Food,4,119
968,Cleanliness,3,30
969,Cleanliness,4,450
970,Service,1,261
971,Food,4,43
972,Cleanliness,1,348
973,Service,5,344
974,Food,4,372
975,Cleanliness,4,260
976,Cleanliness,4,259
977,Cleanliness,4,291
978,Service,5,330
979,Service,4,462
980,Food,2,28
981,Service,1,298
982,Cleanliness,3,176
983,Cleanliness,4,413
984,Cleanliness,1,19
985,Service,3,37
986,Food,2,446
987,Service,3,155
988,Service,3,306
989,Food,2,466
990,Food,1,13
991,Food,3,151
992,Service,3,229
993,Food,4,237
994,Cleanliness,3,356
995,Service,4,384
996,Cleanliness,1,395
997,Cleanliness,1,315
998,Food,1,66
999,Cleanliness,3,113
1000,Service,1,314
1001,Food,5,194
1002,Food,5,269
1003,Food,3,343
1004,Cleanliness,2,459
1005,Food,4,163
1006,Cleanliness,1,453
1007,Food,2,154
1008,Food,1,396
1009,Service,4,44
1010,Food,2,58
1011,Food,2,499
1012,Cleanliness,3,80
1013,Food,5,226
1014,Food,2,54
1015,Service,5,257
1016,Food,4,490
1017,Cleanliness,4,291
1018,Food,5,309
1019,Food,5,368
1020,Service,4,326
1021,Cleanliness,3,265
1022,Cleanliness,3,176
1023,Cleanliness,1,93
1024,Cleanliness,3,233
1025,Cleanliness,4,130
1026,Service,1,287
1027,Food,1,245
1028,Cleanliness,4,1
1029,Service,1,357
1030,Cleanliness,3,149
1031,Cleanliness,1,33
1032,Cleanliness,5,45
1033,Service,5,354
1034,Service,3,408
1035,Service,2,204
1036,Cleanliness,2,484
1037,Food,2,218
1038,Food,2,428
1039,Service,4,238
1040,Service,1,59
1041,Cleanliness,2,33
1042,Service,3,365
1043,Service,2,22
1044,Service,2,413
1045,Service,2,492
1046,Food,4,261
1047,Food,5,28
1048,Food,1,395
1049,Cleanliness,4,476
1050,Service,4,198
1051,Service,3,240
1052,Cleanliness,5,56
1053,Service,4,335
1054,Food,3,116
1055,Cleanliness,2,466
1056,Food,5,226
1057,Cleanliness,1,132
1058,Service,2,340
1059,Cleanliness,5,174
1060,Cleanliness,4,67
1061,Service,5,174
1062,Service,1,450
1063,Food,3,301
1064,Service,4,128
1065,Cleanliness,1,303
1066,Service,5,495
1067,Cleanliness,3,460
1068,Food,3,17
1069,Service,5,193
1070,Service,5,3
1071,Food,5,415
1072,Service,5,500
1073,Food,2,121
1074,Food,5,112
1075,Cleanliness,2,410
1076,Service,3,345
1077,Cleanliness,5,96
1078,Service,2,155
1079,Cleanliness,5,228
1080,Service,2,257
1081,Cleanliness,1,199
1082,Service,1,272
1083,Food,3,391
1084,Cleanliness,3,436
1085,Food,5,52
1086,Service,1,148
1087,Cleanliness,2,168
1088,Cleanliness,2,461
1089,Food,1,21
1090,Food,1,396
1091,Cleanliness,3,446
1092,Cleanliness,1,121
1093,Service,2,195
1094,Service,2,123
1095,Service,3,497
1096,Food,3,188
1097,Cleanliness,5,335
1098,Cleanliness,3,102
1099,Food,1,85
1100,Cleanliness,1,177
1101,Cleanliness,4,412
1102,Cleanliness,2,311
1103,Service,4,65
1104,Food,2,206
1105,Service,3,47
1106,Service,3,393
1107,Food,5,133
1108,Service,1,218
1109,Food,3,370
1110,Cleanliness,3,166
1111,Service,3,410
1112,Food,1,390
1113,Service,3,250
1114,Service,4,302
1115,Service,5,373
1116,Cleanliness,5,428
1117,Service,3,294
1118,Service,5,363
1119,Cleanliness,5,458
1120,Service,1,50
1121,Food,2,117
1122,Cleanliness,2,221
1123,Service,2,375
1124,Service,1,255
1125,Service,4,486
1126,Cleanliness,5,392
1127,Service,2,266
1128,Food,1,374
1129,Service,5,424
1130,Service,3,78
1131,Food,5,93
1132,Cleanliness,2,151
1133,Cleanliness,1,486
1134,Service,5,389
1135,Food,3,403
1136,Cleanliness,3,234
1137,Service,4,403
1138,Food,3,249
1139,Cleanliness,3,235
1140,Food,3,158
1141,Cleanliness,2,255
1142,Service,2,174
1143,Service,3,64
1144,Service,3,268
1145,Service,5,230
1146,Cleanliness,5,358
1147,Food,3,201
1148,Cleanliness,5,365
1149,Cleanliness,1,489
1150,Cleanliness,4,396
1151,Food,3,382
1152,Cleanliness,2,254
1153,Service,3,377
1154,Cleanliness,4,119
1155,Service,2,120
1156,Food,4,34
1157,Food,2,393
1158,Food,3,463
1159,Service,3,121
1160,Food,1,6
1161,Service,4,246
1162,Cleanliness,3,318
1163,Food,5,277
1164,Service,4,75
1165,Food,4,159
1166,Service,2,30
1167,Food,4,297
1168,Food,1,24
1169,Cleanliness,3,343
1170,Service,5,160
1171,Service,2,440
1172,Food,4,108
1173,Service,3,30
1174,Cleanliness,5,137
1175,Service,1,162
1176,Cleanliness,2,463
1177,Cleanliness,4,305
1178,Cleanliness,2,191
1179,Service,5,474
1180,Cleanliness,3,343
1181,Cleanliness,4,151
1182,Cleanliness,1,368
1183,Food,4,478
1184,Food,1,387
1185,Food,5,8
1186,Food,5,367
1187,Service,3,177
1188,Food,4,450
1189,Cleanliness,1,435
1190,Cleanliness,1,85
1191,Food,1,36
1192,Food,2,222
1193,Food,2,16
1194,Food,3,417
1195,Food,2,393
1196,Food,3,249
1197,Service,1,191
1198,Service,4,99
1199,Cleanliness,5,443
1200,Cleanliness,4,332
1201,Food,5,3
1202,Cleanliness,2,293
1203,Food,1,196
1204,Food,2,465
1205,Service,1,278
1206,Food,3,398
1207,Cleanliness,4,36
1208,Service,5,276
1209,Service,5,267
1210,Service,4,235
1211,Service,4,370
1212,Service,3,219
1213,Service,2,224
1214,Food,2,432
1215,Food,5,212
1216,Cleanliness,2,409
1217,Cleanliness,5,355
1218,Cleanliness,2,151
1219,Food,4,297
1220,Cleanliness,3,232
1221,Cleanliness,2,187
1222,Food,1,98
1223,Food,5,3
1224,Cleanliness,4,456
1225,Cleanliness,2,323
1226,Food,2,313
1227,Cleanliness,1,66
1228,Food,4,399
1229,Cleanliness,3,383
1230,Cleanliness,4,82
1231,Service,1,244
1232,Cleanliness,1,38
1233,Service,2,476
1234,Service,1,174
1235,Food,2,197
1236,Cleanliness,4,444
1237,Food,2,70
1238,Food,1,121
1239,Service,3,176
1240,Cleanliness,5,368
1241,Service,2,399
1242,Service,1,396
1243,Service,2,143
1244,Service,4,375
1245,Cleanliness,1,203
1246,Cleanliness,1,51
1247,Cleanliness,4,451
1248,Cleanliness,4,14
1249,Service,1,251
1250,Service,1,296
1251,Service,1,447
1252,Cleanliness,2,119
1253,Cleanliness,2,459
1254,Service,2,156
1255,Food,5,176
1256,Service,2,427
1257,Cleanliness,1,48
1258,Cleanliness,1,21
1259,Cleanliness,5,443
1260,Cleanliness,4,135
1261,Food,5,370
1262,Service,3,317
1263,Cleanliness,2,493
1264,Service,1,142
1265,Cleanliness,2,232
1266,Cleanliness,2,261
1267,Service,5,374
1268,Food,5,416
1269,Cleanliness,5,86
1270,Service,1,2
1271,Service,3,11
1272,Cleanliness,3,115
1273,Service,5,38
1274,Cleanliness,4,203
1275,Food,2,309
1276,Service,2,53
1277,Cleanliness,2,220
1278,Service,5,92
1279,Service,3,100
1280,Service,3,463
1281,Food,5,118
1282,Food,5,228
1283,Cleanliness,3,272
1284,Cleanliness,2,159
1285,Service,4,271
1286,Service,5,60
1287,Cleanliness,1,464
1288,Service,4,140
1289,Food,4,6
1290,Service,5,205
1291,Cleanliness,5,40
1292,Cleanliness,4,363
1293,Cleanliness,1,118
1294,Cleanliness,4,408
1295,Cleanliness,5,77
1296,Food,4,428
1297,Service,5,270
1298,Service,5,78
1299,Cleanliness,4,77
1300,Service,1,18
1301,Service,2,329
1302,Food,5,308
1303,Service,4,130
1304,Service,4,30
1305,Food,3,36
1306,Service,4,322
1307,Service,4,317
1308,Service,2,189
1309,Cleanliness,5,359
1310,Food,3,459
1311,Service,1,5
1312,Cleanliness,2,310
1313,Service,4,484
1314,Food,5,328
1315,Cleanliness,4,21
1316,Service,4,468
1317,Food,2,446
1318,Cleanliness,1,13
